FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Housing Units:,Housing Units: Occupied,Housing Units: Vacant,Vacant Housing Units:,Vacant Housing Units: for Rent,Vacant Housing Units: for Sale Only,Vacant Housing Units: Other Vacant,Occupied Housing Units,Occupied Housing Units: Built 2014 or Later,Occupied Housing Units: Built 2010 to 2013,Occupied Housing Units: Built 2000 to 2009,Occupied Housing Units: Built 1990 to 1999,Occupied Housing Units: Built 1980 to 1989,Occupied Housing Units: Built 1970 to 1979,Occupied Housing Units: Built 1960 to 1969,Occupied Housing Units: Built 1950 to 1959,Occupied Housing Units: Built 1940 to 1949,Occupied Housing Units: Built 1939 or Earlier,Median Gross Rent
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10055_001,SE_A10055_002,SE_A10055_003,SE_A10055_004,SE_A10055_005,SE_A10055_006,SE_A10055_007,SE_A10055_008,SE_A10055_009,SE_A10055_010,SE_A10055_011,SE_A18009_001
4.2101E+11,"Block Group 2, Census Tract 87.01, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 87.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16723,,,,,42,101,,,,8701,2,15000US421010087012,,,86240,0,540,449,91,91,0,0,91,449,0,0,17,0,73,0,20,50,0,289,983
4.2101E+11,"Block Group 3, Census Tract 87.01, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 87.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16724,,,,,42,101,,,,8701,3,15000US421010087013,,,97958,0,890,848,42,42,42,0,0,848,0,0,0,51,70,58,40,112,11,506,959
4.2101E+11,"Block Group 1, Census Tract 87.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 87.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16725,,,,,42,101,,,,8702,1,15000US421010087021,,,197390,0,821,684,137,137,55,0,82,684,0,0,0,33,111,41,61,52,96,290,1097
4.2101E+11,"Block Group 2, Census Tract 87.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 87.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16726,,,,,42,101,,,,8702,2,15000US421010087022,,,86176,0,616,573,43,43,21,0,22,573,0,0,0,38,62,32,18,58,30,335,982
4.2101E+11,"Block Group 1, Census Tract 88.01, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 88.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16727,,,,,42,101,,,,8801,1,15000US421010088011,,,107226,0,30,30,0,0,0,0,0,30,0,0,0,0,6,5,4,3,0,12,944
4.2101E+11,"Block Group 2, Census Tract 88.01, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 88.01, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16728,,,,,42,101,,,,8801,2,15000US421010088012,,,77448,0,179,143,36,36,12,0,24,143,46,0,0,5,0,12,13,7,0,60,1882
4.2101E+11,"Block Group 1, Census Tract 88.02, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 88.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16729,,,,,42,101,,,,8802,1,15000US421010088021,,,70334,0,464,365,99,99,0,0,99,365,0,17,0,65,0,35,15,40,0,193,1053
4.2101E+11,"Block Group 2, Census Tract 88.02, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 88.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16730,,,,,42,101,,,,8802,2,15000US421010088022,,,102599,0,611,529,82,82,62,0,20,529,10,6,57,83,15,28,42,58,26,204,1051
4.2101E+11,"Block Group 3, Census Tract 88.02, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 88.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16731,,,,,42,101,,,,8802,3,15000US421010088023,,,123885,0,187,159,28,28,0,0,28,159,0,0,16,32,0,54,0,5,0,52,1295
4.2101E+11,"Block Group 4, Census Tract 88.02, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 88.02, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16732,,,,,42,101,,,,8802,4,15000US421010088024,,,94133,0,287,259,28,28,28,0,0,259,0,0,0,57,19,40,31,23,4,85,1231
4.2101E+11,"Block Group 1, Census Tract 90, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 90, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16733,,,,,42,101,,,,9000,1,15000US421010090001,,,67291,0,245,180,65,65,20,0,45,180,0,0,0,0,18,7,32,10,9,104,1042
4.2101E+11,"Block Group 2, Census Tract 90, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 90, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16734,,,,,42,101,,,,9000,2,15000US421010090002,,,83927,0,270,270,0,0,0,0,0,270,0,0,0,29,16,21,44,25,14,121,1332
4.2101E+11,"Block Group 3, Census Tract 90, Philadelphia County, Pennsylvania","Block Group 3, Census Tract 90, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16735,,,,,42,101,,,,9000,3,15000US421010090003,,,157264,0,350,324,26,26,7,0,19,324,3,10,3,9,17,34,40,21,16,171,1185
4.2101E+11,"Block Group 4, Census Tract 90, Philadelphia County, Pennsylvania","Block Group 4, Census Tract 90, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16736,,,,,42,101,,,,9000,4,15000US421010090004,,,127837,0,232,180,52,52,33,0,19,180,16,0,0,0,9,0,32,0,0,123,1162
4.2101E+11,"Block Group 1, Census Tract 91, Philadelphia County, Pennsylvania","Block Group 1, Census Tract 91, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16737,,,,,42,101,,,,9100,1,15000US421010091001,,,70761,0,348,316,32,32,0,0,32,316,0,32,0,31,5,8,25,69,35,111,953
4.2101E+11,"Block Group 2, Census Tract 91, Philadelphia County, Pennsylvania","Block Group 2, Census Tract 91, Philadelphia County, Pennsylvania",pa,150,0,ACSSF,16738,,,,,42,101,,,,9100,2,15000US421010091002,,,249372,0,540,457,83,83,0,0,83,457,100,0,27,44,0,44,27,9,15,191,1120
